date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,optionid,forward_price,index_flag,issuer,exercise_style
19960903,19960921,19960903,C,630000,28.375,28.75,45,8856,0.214452,0.81841,0.008943,10244452,655.678731,1,CBOE S&P 500 INDEX,E
19960903,19961116,19960903,P,650000,14.25,15,159,755,0.164945,-0.406233,0.008061,10244734,659.409859,1,CBOE S&P 500 INDEX,E
19960903,19960921,19960903,P,610000,1.125,1.375,2279,8048,0.24921,-0.079185,0.004317,10301295,655.678731,1,CBOE S&P 500 INDEX,E
19960903,19961019,19960903,P,655000,13,13.75,3268,3248,0.161578,-0.460529,0.010784,10327580,657.505648,1,CBOE S&P 500 INDEX,E
19960903,19960921,19960903,C,650000,11.875,12.625,1407,1265,0.168018,0.603876,0.016709,10352705,655.678731,1,CBOE S&P 500 INDEX,E
19960903,19961019,19960903,P,700000,42.875,43.875,3,511,0.130658,-0.910394,0.005329,10304068,657.505648,1,CBOE S&P 500 INDEX,E
19960903,19961221,19960903,P,575000,4.375,4.75,34,4341,0.225433,-0.111648,0.002374,10233349,661.899665,1,CBOE S&P 500 INDEX,E
19960903,19961019,19960903,P,605000,3,3.375,2,3404,0.216573,-0.125905,0.004199,10109550,657.505648,1,CBOE S&P 500 INDEX,E
19960903,19960921,19960903,C,665000,4.5,4.75,521,500,0.154039,0.336355,0.017271,10251184,655.678731,1,CBOE S&P 500 INDEX,E
19960903,19961019,19960903,P,525000,0.3125,0.5,80,510,0.308914,-0.01566,0.000559,10283599,657.505648,1,CBOE S&P 500 INDEX,E
19960903,19961221,19960903,C,700000,6,6.375,2,266,0.134508,0.230613,0.00636,10372284,661.899665,1,CBOE S&P 500 INDEX,E
19960903,19970322,19960903,C,700000,13.75,14.5,2,1573,0.136925,0.338485,0.0055,10312317,668.520798,1,CBOE S&P 500 INDEX,E
19960903,19960921,19960903,P,590000,0.5625,0.75,620,5492,0.292534,-0.039684,0.002135,10092507,655.678731,1,CBOE S&P 500 INDEX,E
