caldt,vwretd,vwretx,ewretd,ewretx,spindx,sprtrn
19960930,0.056035,0.054112,0.049854,0.048156,687.31,0.054173
19961031,0.026798,0.025348,0.013655,0.012347,705.27,0.026131
19961129,0.076455,0.074218,0.070028,0.067803,757.02,0.073376
19961231,-0.019815,-0.021518,-0.016817,-0.018512,740.74,-0.021505
19970131,0.062779,0.061689,0.039140,0.038108,786.16,0.061317
19970228,0.007752,0.005800,0.013457,0.011391,790.82,0.005928
19970331,-0.041653,-0.043310,-0.035120,-0.036683,757.12,-0.042614
19970430,0.060274,0.059016,0.032138,0.030870,801.34,0.058406
19970530,0.061401,0.059272,0.073897,0.071723,848.28,0.058577
19970630,0.044103,0.042762,0.038820,0.037303,885.14,0.043453
19970731,0.080388,0.078977,0.079766,0.078636,954.29,0.078123
19970829,-0.054970,-0.056458,-0.028003,-0.029745,899.47,-0.057446
19970930,0.053886,0.052408,0.051665,0.050189,947.28,0.053154
19971031,-0.032605,-0.033730,-0.043194,-0.044241,914.62,-0.034478
19971128,0.046321,0.044625,0.031342,0.029479,955.40,0.044587
19971231,0.017147,0.015700,0.015319,0.013788,970.43,0.015732
19980130,0.011994,0.011080,-0.002326,-0.003152,980.28,0.010150
19980227,0.071956,0.070303,0.078865,0.077036,1049.34,0.070449
19980331,0.051336,0.050104,0.050179,0.048835,1101.75,0.049946
19980430,0.011275,0.010232,0.004209,0.003227,1111.75,0.009076
19980529,-0.017674,-0.019206,-0.024932,-0.026546,1090.82,-0.018826
19980630,0.040970,0.039800,0.010836,0.009456,1133.84,0.039438
19980731,-0.010109,-0.011112,-0.044451,-0.045311,1120.67,-0.011615
19980831,-0.143124,-0.144504,-0.148456,-0.150280,957.28,-0.145797
19980930,0.063176,0.061612,0.060341,0.058597,1017.01,0.062396
19981030,0.080111,0.079144,0.088840,0.087860,1098.67,0.080294
19981130,0.062164,0.060685,0.050710,0.048847,1163.63,0.059126
19981231,0.059673,0.058454,0.029082,0.027529,1229.23,0.056375
19990129,0.042800,0.042000,0.010847,0.010044,1279.64,0.041009
19990226,-0.031935,-0.033156,-0.019371,-0.021184,1238.33,-0.032283
19990331,0.038979,0.037774,0.021855,0.020209,1286.37,0.038794
19990430,0.037559,0.036771,0.096934,0.095960,1335.18,0.037944
19990528,-0.023159,-0.024833,-0.001112,-0.003032,1301.84,-0.024970
19990630,0.054431,0.053398,0.041249,0.039867,1372.71,0.054438
19990730,-0.030220,-0.031084,-0.034555,-0.035454,1328.72,-0.032046
19990831,-0.004989,-0.006251,-0.022216,-0.023947,1320.41,-0.006254
19990930,-0.028079,-0.029257,-0.039403,-0.040891,1282.71,-0.028552
19991029,0.064238,0.063512,0.030970,0.029995,1362.93,0.062539
19991130,0.020822,0.019547,-0.001732,-0.003641,1388.91,0.019062
19991231,0.062579,0.061549,0.044205,0.042538,1469.25,0.057844
20000131,-0.049630,-0.050296,-0.057249,-0.058164,1394.46,-0.050904
20000229,-0.017458,-0.018666,-0.045099,-0.047119,1366.42,-0.020108
20000331,0.098488,0.097431,0.109941,0.107996,1498.58,0.096720
20000428,-0.031585,-0.032308,0.008073,0.007029,1452.43,-0.030796
20000531,-0.022304,-0.023617,0.016657,0.014376,1420.60,-0.021915
20000630,0.026219,0.025497,-0.019605,-0.021009,1454.60,0.023934
20000731,-0.012795,-0.013559,0.003866,0.002818,1430.83,-0.016341
20000831,0.062594,0.061275,0.074144,0.071748,1517.68,0.060699
20000929,-0.052088,-0.052795,-0.013813,-0.015103,1436.51,-0.053483
20001031,-0.004120,-0.004829,0.021097,0.020159,1429.40,-0.004949
20001130,-0.078268,-0.079557,-0.045453,-0.047623,1314.95,-0.080069
20001229,0.005720,0.004861,0.066751,0.065496,1320.28,0.004053
20010131,0.032375,0.031555,0.053414,0.052623,1366.01,0.034637
20010228,-0.090952,-0.092131,-0.044749,-0.046467,1239.94,-0.092291
20010330,-0.063706,-0.064587,-0.049836,-0.051024,1160.33,-0.064205
20010430,0.077825,0.076981,0.084729,0.084000,1249.46,0.076814
20010531,0.006870,0.005330,0.017687,0.015861,1255.82,0.005090
20010629,-0.024506,-0.025183,-0.015805,-0.016825,1224.42,-0.025004
20010731,-0.009317,-0.010248,-0.009180,-0.009915,1211.23,-0.010772
20010831,-0.063435,-0.064933,-0.043659,-0.045377,1133.58,-0.064108
20010928,-0.080361,-0.081352,-0.124472,-0.125526,1040.94,-0.081723
20011031,0.019540,0.018546,0.042117,0.041315,1059.78,0.018099
20011130,0.078787,0.077259,0.102273,0.100571,1139.45,0.075176
20011231,0.009051,0.007849,0.030572,0.029262,1148.08,0.007574
20020131,-0.014324,-0.015320,-0.002527,-0.003289,1130.20,-0.015574
20020228,-0.019481,-0.020973,-0.011293,-0.012721,1106.73,-0.020766
20020328,0.037572,0.036690,0.067365,0.066228,1147.39,0.036739
20020430,-0.061001,-0.061826,-0.036342,-0.036988,1076.92,-0.061418
20020531,-0.007800,-0.009438,-0.012256,-0.013828,1067.14,-0.009081
20020628,-0.071349,-0.072611,-0.080675,-0.081861,989.81,-0.072465
20020731,-0.073987,-0.075074,-0.105229,-0.106106,911.62,-0.078995
20020830,0.007061,0.005401,0.012241,0.010652,916.07,0.004881
20020930,-0.108965,-0.110421,-0.115309,-0.116645,815.29,-0.110013
20021031,0.088599,0.087103,0.073063,0.071851,885.76,0.086436
20021129,0.059019,0.057288,0.110251,0.108353,936.31,0.057070
20021231,-0.058834,-0.060464,-0.051344,-0.052995,879.82,-0.060333
20030131,-0.026579,-0.027860,-0.025525,-0.026377,855.70,-0.027415
20030228,-0.015246,-0.017225,-0.022303,-0.024039,841.15,-0.017004
20030331,0.010308,0.008967,0.005085,0.003585,848.18,0.008358
20030430,0.082774,0.081462,0.103509,0.102385,916.92,0.081044
20030530,0.053251,0.051508,0.096073,0.094441,963.59,0.050899
20030630,0.012816,0.011351,0.007649,0.006213,974.50,0.011322
20030731,0.017932,0.016505,0.028370,0.027302,990.31,0.016224
20030829,0.019597,0.018014,0.044604,0.043044,1008.01,0.017873
20030930,-0.010737,-0.012107,-0.016561,-0.017897,995.97,-0.011944
20031031,0.055560,0.053970,0.070988,0.069986,1050.71,0.054962
20031128,0.009259,0.007606,0.021267,0.019610,1058.20,0.007129
20031231,0.051780,0.050107,0.053166,0.051498,1111.92,0.050765
20040130,0.019078,0.017991,0.024211,0.023439,1131.13,0.017276
20040227,0.014403,0.012716,0.020902,0.019433,1144.94,0.012209
20040331,-0.014982,-0.016267,-0.005810,-0.007174,1126.21,-0.016359
20040430,-0.015584,-0.016719,-0.024546,-0.025387,1107.30,-0.016791
20040528,0.013629,0.012024,0.019374,0.017895,1120.68,0.012083
20040630,0.019488,0.018019,0.030320,0.028934,1140.84,0.017989
20040730,-0.032954,-0.034111,-0.043144,-0.044004,1101.72,-0.034291
20040831,0.003807,0.002019,-0.002948,-0.004771,1104.24,0.002287
20040930,0.010817,0.009347,0.027570,0.026265,1114.58,0.009364
20041029,0.014973,0.013699,0.024507,0.023589,1130.20,0.014014
20041130,0.040559,0.035572,0.058717,0.056860,1173.82,0.038595
20041231,0.033734,0.032086,0.037578,0.035933,1211.92,0.032458
20050131,-0.023824,-0.024749,-0.029473,-0.030169,1181.27,-0.025290
20050228,0.021152,0.019015,0.020327,0.018756,1203.60,0.018903
20050331,-0.017240,-0.018729,-0.012797,-0.014308,1180.59,-0.019118
20050429,-0.018926,-0.020076,-0.030961,-0.031763,1156.85,-0.020109
20050531,0.031994,0.030156,0.048563,0.047029,1191.50,0.029952
20050630,0.001717,0.000139,0.014499,0.013112,1191.33,-0.000143
20050729,0.037364,0.036163,0.051383,0.050538,1234.18,0.035968
20050831,-0.009159,-0.011265,-0.009789,-0.011389,1220.33,-0.011222
20050930,0.008067,0.006916,0.008281,0.007062,1228.81,0.006949
20051031,-0.015672,-0.016697,-0.023467,-0.024333,1207.01,-0.017741
20051130,0.038289,0.035675,0.043744,0.041691,1249.48,0.035186
20051230,-0.000060,-0.001396,0.008022,0.006570,1248.29,-0.000952
20060131,0.026442,0.025424,0.041378,0.040514,1280.08,0.025467
20060228,0.002425,0.000167,0.002951,0.001373,1280.66,0.000453
20060331,0.012909,0.011511,0.017915,0.016503,1294.83,0.011065
20060428,0.012064,0.010850,0.010538,0.009691,1310.61,0.012187
20060531,-0.028319,-0.030519,-0.028304,-0.029964,1270.09,-0.030917
20060630,0.001587,0.000348,-0.001960,-0.003270,1270.20,0.000087
20060731,0.005571,0.004510,-0.014294,-0.015115,1276.66,0.005086
20060831,0.024150,0.021679,0.030420,0.028695,1303.82,0.021274
20060929,0.026487,0.025296,0.026354,0.025107,1335.85,0.024566
20061031,0.032527,0.031420,0.036768,0.035605,1377.94,0.031508
20061130,0.018385,0.015887,0.025339,0.023503,1400.63,0.016467
20061229,0.013768,0.012294,0.008267,0.006709,1418.30,0.012616
20070131,0.015313,0.014345,0.023825,0.023078,1438.24,0.014059
20070228,-0.019288,-0.021598,-0.003043,-0.004504,1406.82,-0.021846
20070330,0.010894,0.009679,0.007339,0.005983,1420.86,0.009980
20070430,0.043991,0.042857,0.043294,0.041862,1482.37,0.043291
20070531,0.034459,0.032154,0.032550,0.030965,1530.62,0.032549
20070629,-0.016620,-0.017829,-0.018468,-0.019701,1503.35,-0.017816
20070731,-0.031197,-0.032283,-0.045079,-0.045903,1455.27,-0.031982
20070831,0.015094,0.012859,0.000895,-0.000985,1473.99,0.012864
20070928,0.037468,0.035923,0.024308,0.022877,1526.75,0.035794
20071031,0.017360,0.016292,0.013447,0.012615,1549.38,0.014822
20071130,-0.041382,-0.043581,-0.049793,-0.051698,1481.14,-0.044043
