KYTREASNOX,MCALDT,TMBIDYTM,TMASKYTM,TMYTM
2000002,1996-09-30,5.0079653962182E+00,4.9874446183651E+00,4.9977048818262E+00
2000002,1996-10-31,5.1222909082685E+00,5.1017530354420E+00,5.1120218404026E+00
2000002,1996-11-29,5.1013950061155E+00,5.0808610674485E+00,5.0911279068237E+00
2000002,1996-12-31,5.1512622536867E+00,5.1307171108315E+00,5.1409895478222E+00
2000002,1997-01-31,5.1321978636228E+00,5.1116623653372E+00,5.1219299845019E+00
2000002,1997-02-28,5.2040802973479E+00,5.1835411590307E+00,5.1938105981651E+00
2000002,1997-03-31,5.2953617290942E+00,5.2748268893435E+00,5.2850941835814E+00
2000002,1997-04-30,5.2767415682692E+00,5.2561928210063E+00,5.2664670615997E+00
2000002,1997-05-30,5.1604358717117E+00,5.1398989435676E+00,5.1501672776435E+00
2000002,1997-06-30,5.1542049998829E+00,5.1336770678664E+00,5.1439409083217E+00
2000002,1997-07-31,5.2095886018370E+00,5.1890462586460E+00,5.1993172987316E+00
2000002,1997-08-29,5.1916139940098E+00,5.1710725713474E+00,5.1813431511804E+00
2000002,1997-09-30,5.0182261617654E+00,4.9977048818971E+00,5.0079653963598E+00
2000002,1997-10-31,5.1732719799314E+00,5.1527344017858E+00,5.1630030608542E+00
2000002,1997-11-28,5.2708396816240E+00,5.2502971621217E+00,5.2605682918059E+00
2000002,1997-12-31,5.3204111903447E+00,5.2998601811871E+00,5.3101355526985E+00
2000002,1998-01-30,5.1604358717117E+00,5.1398989435676E+00,5.1501672776435E+00
2000002,1998-02-27,5.2888152397926E+00,5.2682718097812E+00,5.2785433947083E+00
2000002,1998-03-31,5.1409895478224E+00,5.1204449427007E+00,5.1307171108318E+00
2000002,1998-04-30,4.9528848991857E+00,4.9323556985731E+00,4.9426201675378E+00
2000002,1998-05-29,4.9910373079763E+00,4.9705089559979E+00,4.9807730020995E+00
2000002,1998-06-30,5.0536824023326E+00,5.0331423668094E+00,5.0434122502010E+00
2000002,1998-07-31,5.0500621086917E+00,5.0295307688627E+00,5.0397963088517E+00
2000002,1998-08-31,4.8313276490028E+00,4.8108127993391E+00,4.8210700973368E+00
2000002,1998-09-30,4.3197864559931E+00,4.2992872123546E+00,4.3095367017762E+00
2000002,1998-10-30,4.3115879156236E+00,4.3013407914855E+00,4.3064643211904E+00
2000002,1998-11-30,4.4670654723980E+00,4.4568181778059E+00,4.4619417938157E+00
2000002,1998-12-31,4.4374069126170E+00,4.4271553641937E+00,4.4322811056534E+00
2000002,1999-01-29,4.4396988179088E+00,4.4294484563373E+00,4.4345736047384E+00
2000002,1999-02-26,4.6447604742037E+00,4.6345049284818E+00,4.6396326689254E+00
2000002,1999-03-31,4.4556207042899E+00,4.4453674402398E+00,4.4504940391419E+00
2000002,1999-04-30,4.5191479056218E+00,4.5088955358140E+00,4.5140216883206E+00
2000002,1999-05-28,4.6139946150208E+00,4.6037398472556E+00,4.6088671987258E+00
2000002,1999-06-30,4.7453849476538E+00,4.7351241923438E+00,4.7402545368274E+00
2000002,1999-07-30,4.7114278435218E+00,4.7011706118216E+00,4.7062991952437E+00
2000002,1999-08-31,4.8976780143543E+00,4.8874201967550E+00,4.8925490742041E+00
2000002,1999-09-30,4.8092025554077E+00,4.7989415001043E+00,4.8040719949432E+00
2000002,1999-10-29,5.0526285992549E+00,5.0423627344502E+00,5.0474956343699E+00
2000002,1999-11-30,5.2565729943639E+00,5.2462975317315E+00,5.2514352294196E+00
2000002,1999-12-31,5.3324734840839E+00,5.3222005331852E+00,5.3273369761071E+00
2000002,2000-01-31,5.6394697933863E+00,5.6291938230529E+00,5.6343317767580E+00
2000002,2000-02-29,5.7346793553443E+00,5.7243913677950E+00,5.7295353278595E+00
