KYTREASNOX,MCALDT,TMBIDYTM,TMASKYTM
2000002,1996-09-30,5.0079653962182E+00,4.9874446183651E+00
2000002,1996-10-31,5.1222909082685E+00,5.1017530354420E+00
2000002,1996-11-29,5.1013950061155E+00,5.0808610674485E+00
2000002,1996-12-31,5.1512622536867E+00,5.1307171108315E+00
2000002,1997-01-31,5.1321978636228E+00,5.1116623653372E+00
2000002,1997-02-28,5.2040802973479E+00,5.1835411590307E+00
2000002,1997-03-31,5.2953617290942E+00,5.2748268893435E+00
2000002,1997-04-30,5.2767415682692E+00,5.2561928210063E+00
2000002,1997-05-30,5.1604358717117E+00,5.1398989435676E+00
2000002,1997-06-30,5.1542049998829E+00,5.1336770678664E+00
2000002,1997-07-31,5.2095886018370E+00,5.1890462586460E+00
2000002,1997-08-29,5.1916139940098E+00,5.1710725713474E+00
2000002,1997-09-30,5.0182261617654E+00,4.9977048818971E+00
2000002,1997-10-31,5.1732719799314E+00,5.1527344017858E+00
2000002,1997-11-28,5.2708396816240E+00,5.2502971621217E+00
2000002,1997-12-31,5.3204111903447E+00,5.2998601811871E+00
2000002,1998-01-30,5.1604358717117E+00,5.1398989435676E+00
2000002,1998-02-27,5.2888152397926E+00,5.2682718097812E+00
2000002,1998-03-31,5.1409895478224E+00,5.1204449427007E+00
2000002,1998-04-30,4.9528848991857E+00,4.9323556985731E+00
2000002,1998-05-29,4.9910373079763E+00,4.9705089559979E+00
2000002,1998-06-30,5.0536824023326E+00,5.0331423668094E+00
2000002,1998-07-31,5.0500621086917E+00,5.0295307688627E+00
2000002,1998-08-31,4.8313276490028E+00,4.8108127993391E+00
2000002,1998-09-30,4.3197864559931E+00,4.2992872123546E+00
2000002,1998-10-30,4.3115879156236E+00,4.3013407914855E+00
2000002,1998-11-30,4.4670654723980E+00,4.4568181778059E+00
2000002,1998-12-31,4.4374069126170E+00,4.4271553641937E+00
2000002,1999-01-29,4.4396988179088E+00,4.4294484563373E+00
2000002,1999-02-26,4.6447604742037E+00,4.6345049284818E+00
2000002,1999-03-31,4.4556207042899E+00,4.4453674402398E+00
2000002,1999-04-30,4.5191479056218E+00,4.5088955358140E+00
2000002,1999-05-28,4.6139946150208E+00,4.6037398472556E+00
2000002,1999-06-30,4.7453849476538E+00,4.7351241923438E+00
2000002,1999-07-30,4.7114278435218E+00,4.7011706118216E+00
2000002,1999-08-31,4.8976780143543E+00,4.8874201967550E+00
2000002,1999-09-30,4.8092025554077E+00,4.7989415001043E+00
2000002,1999-10-29,5.0526285992549E+00,5.0423627344502E+00
2000002,1999-11-30,5.2565729943639E+00,5.2462975317315E+00
2000002,1999-12-31,5.3324734840839E+00,5.3222005331852E+00
2000002,2000-01-31,5.6394697933863E+00,5.6291938230529E+00
2000002,2000-02-29,5.7346793553443E+00,5.7243913677950E+00
2000002,2000-03-31,5.8233100077645E+00,5.8130246163309E+00
2000002,2000-04-28,5.7821700070390E+00,5.7718856589005E+00
2000002,2000-05-31,5.5851005620794E+00,5.5748180667170E+00
2000002,2000-06-30,5.8310242225264E+00,5.8207386354513E+00
2000002,2000-07-31,6.1741673820533E+00,6.1638783069644E+00
2000002,2000-08-31,6.2612202115065E+00,6.2509219433292E+00
2000002,2000-09-29,6.1628743450163E+00,6.1525803383134E+00
2000002,2000-10-31,6.2945374072049E+00,6.2842471529632E+00
2000002,2000-11-30,6.1633973377063E+00,6.1531015808061E+00
2000002,2000-12-29,5.8490246276266E+00,5.8387385840258E+00
2000002,2001-01-31,4.9634887569194E+00,4.9532223593722E+00
2000002,2001-02-28,4.8351778781600E+00,4.8249148003272E+00
2000002,2001-03-30,4.2756216503651E+00,4.2653754349305E+00
2000002,2001-04-30,3.8680192994116E+00,3.8577866259378E+00
2000002,2001-05-31,3.6078792588522E+00,3.5976488898610E+00
2000002,2001-06-29,3.6332749383477E+00,3.6230449385224E+00
2000002,2001-07-31,3.5238276952783E+00,3.5135974976122E+00
2000002,2001-08-31,3.3469324403861E+00,3.3367096608117E+00
2000002,2001-09-28,2.3463228116453E+00,2.3361252228857E+00
2000002,2001-10-31,2.0304298661854E+00,2.0202390864117E+00
2000002,2001-11-30,1.7883817759728E+00,1.7781982066731E+00
2000002,2001-12-31,1.7169808317119E+00,1.7068004876129E+00
2000002,2002-01-31,1.7629659692514E+00,1.7527825476940E+00
2000002,2002-02-28,1.7604200896235E+00,1.7502367327016E+00
2000002,2002-03-28,1.7884256543371E+00,1.7782415863761E+00
2000002,2002-04-30,1.7554129233815E+00,1.7452287168950E+00
2000002,2002-05-31,1.7272841954888E+00,1.7171021602250E+00
2000002,2002-06-28,1.6916481904086E+00,1.6814670497855E+00
2000002,2002-07-31,1.6968178461800E+00,1.6866356319689E+00
2000002,2002-08-30,1.6713244815099E+00,1.6611433863251E+00
2000002,2002-09-30,1.5464926444130E+00,1.5363164364007E+00
2000002,2002-10-31,1.4397684783870E+00,1.4295932590181E+00
2000002,2002-11-29,1.2235800553142E+00,1.2134106582336E+00
2000002,2002-12-31,1.1982160991958E+00,1.1880463408525E+00
2000002,2003-01-31,1.1727356197184E+00,1.1625674974776E+00
2000002,2003-02-28,1.2108683488067E+00,1.2006992704660E+00
2000002,2003-03-31,1.1065970100864E+00,1.0964314662938E+00
2000002,2003-04-30,1.1168483066322E+00,1.1066809661352E+00
2000002,2003-05-30,1.1168141019630E+00,1.1066473816767E+00
2000002,2003-06-30,9.0341123181574E-01,8.9324885937730E-01
2000002,2003-07-31,9.4402672668391E-01,9.3386407554004E-01
2000002,2003-08-29,9.9230283629478E-01,9.8213896192003E-01
2000002,2003-09-30,9.4152249739025E-01,9.3135912748346E-01
2000002,2003-10-31,9.3893328273932E-01,9.2877102064706E-01
2000002,2003-11-28,9.2877102064706E-01,9.1860901319061E-01
2000002,2003-12-31,9.3895745552683E-01,9.2879467280603E-01
2000002,2004-01-30,9.1352810494690E-01,9.0336647942036E-01
2000002,2004-02-27,9.4909579948015E-01,9.3893328273932E-01
2000002,2004-03-31,9.3895745552683E-01,9.2879467280603E-01
2000002,2004-04-30,9.6942159695867E-01,9.5925857088229E-01
2000002,2004-05-28,1.0761487499230E+00,1.0659830489973E+00
2000002,2004-06-30,1.2668468526635E+00,1.2566756674356E+00
2000002,2004-07-30,1.4371963201710E+00,1.4270215652705E+00
2000002,2004-08-31,1.6001324814991E+00,1.5899523035045E+00
2000002,2004-09-30,1.7044148257351E+00,1.6942328905936E+00
2000002,2004-10-29,1.9029645541588E+00,1.8927781072956E+00
2000002,2004-11-30,2.2267214611406E+00,2.2165250175758E+00
2000002,2004-12-31,2.2265173349201E+00,2.2163227581551E+00
2000002,2005-01-31,2.4659132734791E+00,2.4557147401673E+00
